Location,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices
Finland,10.63926697,0.954329729,71.9008255,0.949172199
Denmark,10.77400112,0.955990791,72.40250397,0.951444268
Switzerland,10.97993279,0.942846596,74.10244751,0.921336651
Iceland,10.77255917,0.974669576,73,0.948891878
Norway,11.08780384,0.952486575,73.20078278,0.955750287
Netherlands,10.81271172,0.93913883,72.30091858,0.908547819
Sweden,10.75879383,0.926311195,72.60076904,0.939144194
New Zealand,10.50094318,0.949118972,73.20262909,0.936217487
Austria,10.7428236,0.928045869,73.00250244,0.899989486
Luxembourg,11.45068073,0.906912208,72.59999847,0.90563643
Canada,10.69236851,0.927176654,73.60160065,0.933913231
Australia,10.72059631,0.944854617,73.60453796,0.915431738
United Kingdom,10.60013485,0.93668282,72.30160522,0.834743679
Israel,10.41752529,0.913571239,73.20025635,0.747580588
Costa Rica,9.658156395,0.901545942,71.29985046,0.934738934
Ireland,11.16097832,0.942081571,72.30078888,0.886982977
Germany,10.7328186,0.898874462,72.20201874,0.867371082
United States,10.92576885,0.914219022,68.29949951,0.842619538
Czech Republic,10.40416336,0.914430678,70.04793549,0.818537354
Belgium,10.6736393,0.911632538,72.00164795,0.813582063
United Arab Emirates,11.1099987,0.849181116,67.08278656,0.941345513
Malta,10.53383827,0.93037951,72.19999695,0.924911439
France,10.58422279,0.937103748,73.80193329,0.825467646
Mexico,9.797797203,0.838665426,68.29902649,0.858709276
Taiwan Province of China,10.77568531,0.894309103,69.59999847,0.77153033
Uruguay,9.948192596,0.92281127,69.00254822,0.892395437
Saudi Arabia,10.79781246,0.874067068,66.30514526,0.854191244
Spain,10.46292686,0.921125412,74.40270996,0.751989543
Guatemala,8.924805641,0.816621482,64.8089447,0.908147573
Italy,10.48183632,0.889878571,73.60168457,0.66465199
Singapore,11.39552116,0.910268962,76.80458069,0.926645339
Brazil,9.56643486,0.896723807,66.48016357,0.799804807
Slovenia,10.39232254,0.939575672,71.1029892,0.936142623
El Salvador,8.909075737,0.806092262,66.10826111,0.833805263
Kosovo,9.204429626,0.820726514,63.88555527,0.861535907
Panama,10.03423405,0.902094483,69.60301208,0.880366504
Slovakia,10.34774971,0.922493756,68.90634155,0.749952674
Uzbekistan,8.740371704,0.926595807,65.10757446,0.974998116
Chile,10.0320549,0.879713595,69.90061951,0.744896293
Bahrain,10.67638016,0.876342118,68.5,0.905855775
Lithuania,10.34362602,0.926107109,67.29407501,0.747381449
Trinidad and Tobago,10.26000214,0.91529417,63.5,0.857907116
Poland,10.26512432,0.874257445,69.31113434,0.862055779
Colombia,9.500369072,0.884440243,67.69958496,0.836179912
Cyprus,10.40570259,0.805996239,73.70222473,0.779858291
Nicaragua,8.493160248,0.857497036,67.50717926,0.863902867
Romania,10.107584,0.825161517,67.20723724,0.842823207
Kuwait,11.08982468,0.846475244,66.76764679,0.872366488
Mauritius,9.956786156,0.910357833,66.40434265,0.889534533
Kazakhstan,10.11465836,0.934744895,64.60996246,0.811601937
Estonia,10.34001732,0.934729993,68.60495758,0.87770915
Philippines,8.993545532,0.846730053,61.92676163,0.915463448
Hungary,10.24924374,0.921934128,67.60997009,0.718964577
Thailand,9.741791725,0.889973223,67.25059509,0.905063033
Argentina,9.810955048,0.900567949,68.80380249,0.831132412
Honduras,8.424534798,0.821870148,67.19876862,0.870603263
Latvia,10.17531967,0.918288589,66.8074646,0.671237648
Ecuador,9.246058464,0.836418986,68.50003815,0.859828949
Portugal,10.26374245,0.886590719,72.40202332,0.888747811
Jamaica,9.006250381,0.915701866,67.09999847,0.858068526
South Korea,10.51056671,0.799387157,73.6027298,0.612965107
Japan,10.57968903,0.883545935,75.00096893,0.809961379
Peru,9.456313133,0.831075251,68.10023499,0.824766099
Serbia,9.680980682,0.881475747,68.21020508,0.726495862
Bolivia,8.851115227,0.803108692,63.6004715,0.875873327
Pakistan,8.482727051,0.689062297,58.25313568,0.734833717
Paraguay,9.389982224,0.898727894,65.63993835,0.885923445
Dominican Republic,9.664880753,0.882085383,65.80748749,0.866202772
Bosnia and Herzegovina,9.455817223,0.829204142,67.80813599,0.651352704
Moldova,8.776714325,0.843313575,65.01301575,0.721609175
Tajikistan,8.024810791,0.835297108,64.10459137,0.831383407
Montenegro,9.751860619,0.855314612,68.50534821,0.649565637
Russia,10.12887192,0.903150737,64.10045624,0.729892612
Kyrgyzstan,8.148405075,0.887228489,64.10601044,0.909374893
Belarus,9.779945374,0.90674746,66.10433197,0.639163077
North Cyprus,10.40570259,0.820356607,73.70222473,0.79529351
Greece,10.13232613,0.814380348,72.40525818,0.541345119
Hong Kong S.A.R. of China,10.9346714,0.845969081,76.77170563,0.779833794
Croatia,10.07087517,0.874623716,70.21490479,0.714838803
Libya,9.789815903,0.825942934,62.29999924,0.773157001
Mongolia,9.412186623,0.937142491,62.30448532,0.693351328
Malaysia,10.26251888,0.816509426,67.10215759,0.894626856
Vietnam,8.809545517,0.849987149,67.9527359,0.939592957
Indonesia,9.36975193,0.808379889,62.15584946,0.870614409
Ivory Coast,8.225561142,0.658048689,49.50377274,0.727909327
Benin,7.674319744,0.468671143,54.31246567,0.735182583
Maldives,9.518632889,0.91316092,70.59999847,0.853962779
Congo (Brazzaville),8.536987305,0.640228093,57.92448044,0.719058514
Azerbaijan,9.687726974,0.819308281,65.50839996,0.786824107
Macedonia,9.510591507,0.820392311,67.50442505,0.738840938
Ghana,8.350645065,0.728601098,57.20398712,0.794796526
Nepal,7.925357342,0.785512447,63.77917862,0.797565043
Turkey,10.12941933,0.826313555,66.90281677,0.608830452
China,9.688568115,0.798760593,69.2891922,0.898517907
Turkmenistan,9.74803257,0.958966196,62.21170807,0.826457024
Bulgaria,9.869318962,0.937840343,66.80397797,0.745178163
Morocco,8.940313339,0.592628479,65.89624023,0.772072434
Cameroon,8.118647575,0.700386405,52.7049408,0.763051808
Venezuela,8.977793694,0.890408158,66.50534058,0.62327832
Algeria,9.537964821,0.803385139,65.90517426,0.466610909
Senegal,8.118982315,0.723616004,59.59915161,0.690596163
Guinea,7.750990391,0.637573481,54.46780014,0.706846774
Niger,6.842166901,0.617435038,53.50009537,0.759772122
Laos,8.79858017,0.737502217,58.70992279,0.907213569
Albania,9.417930603,0.671070457,68.70813751,0.781994224
Cambodia,8.249890327,0.773080647,61.52996826,0.959704638
Bangladesh,8.287063599,0.687292993,64.50306702,0.90062499
Gabon,9.680537224,0.787886858,59.71533966,0.704829216
South Africa,9.403370857,0.852532268,56.50601196,0.759330094
Iraq,9.661095619,0.747694969,59.90354919,0.633182645
Lebanon,9.3617239,0.824338138,67.10658264,0.551357508
Burkina Faso,7.46854496,0.712943614,53.88945389,0.665563583
Gambia,7.321814537,0.6931687,55.0120163,0.733163178
Mali,7.629852295,0.731468976,51.72698212,0.71156615
Nigeria,8.57662487,0.73721689,49.86190796,0.759578407
Armenia,9.100476265,0.757479429,66.75065613,0.712017834
Georgia,9.226100922,0.629033029,64.49520874,0.801641524
Iran,9.813719749,0.694689691,66.00614929,0.647873282
Jordan,9.025999069,0.80216372,66.79975128,0.75104779
Mozambique,7.069345951,0.723874032,54.20582199,0.864451885
Kenya,8.02977562,0.702652037,60.09693146,0.829747558
Namibia,9.203141212,0.846880972,56.50148773,0.767520964
Ukraine,9.010690689,0.878879368,64.60678101,0.663081884
Liberia,7.054380417,0.70928055,56.09631348,0.735268712
Palestinian Territories,8.389223099,0.825295925,62.25,0.645791829
Uganda,7.500389576,0.764994621,55.70820236,0.731713951
Chad,7.467963696,0.632388055,48.22053909,0.587305248
Tunisia,9.314972878,0.688718557,66.89785767,0.593361557
Mauritania,8.233919144,0.790819228,57.01017761,0.551522553
Sri Lanka,9.389969826,0.825374067,67.20006561,0.837633669
Congo (Kinshasa),6.694256306,0.672159016,52.90000153,0.700793564
Swaziland,9.16267395,0.770290196,51.18823624,0.646822274
Myanmar,8.680481911,0.78440702,58.96171188,0.895075202
Comoros,7.833630085,0.625662446,57.34901047,0.547612607
Togo,7.357711315,0.551312625,54.71989822,0.649828613
Ethiopia,7.509385586,0.743307352,58.63959122,0.740795195
Madagascar,7.281685829,0.668195903,59.10542679,0.557574093
Egypt,9.316541672,0.735447824,61.78015137,0.708354175
Sierra Leone,7.26880312,0.636142015,50.86514282,0.715315044
Burundi,6.492642403,0.490325719,53.40000153,0.626350224
Zambia,8.224720001,0.698824465,55.29937744,0.806500256
Haiti,7.411329269,0.593247831,55.59862518,0.537825167
Lesotho,7.960488319,0.780495703,48.00362396,0.738125861
India,8.849823952,0.592200935,60.21518707,0.881444871
Malawi,7.062226295,0.544007301,57.59288788,0.803223193
Yemen,7.759682655,0.817980587,56.72728348,0.599920273
Botswana,9.711203575,0.779121757,58.92445374,0.821328104
Tanzania,7.967665195,0.688933194,57.49607468,0.82153976
Central African Republic,6.625160217,0.319459856,45.20000076,0.640880644
Rwanda,7.600104332,0.54083544,61.09884644,0.900589406
Zimbabwe,7.865711689,0.763092756,55.61725998,0.711457908
South Sudan,7.425359726,0.553707123,51,0.451313615
Afghanistan,7.462860584,0.470366955,52.59000015,0.396573007
